"Id","IsDeleted","MasterRecordId","Salutation","FirstName","LastName","Title","Company","Street","City","State","PostalCode","Country","Latitude","Longitude","GeocodeAccuracy","Phone","MobilePhone","Fax","Email","Website","Description","LeadSource","Status","Industry","Rating","AnnualRevenue","NumberOfEmployees","OwnerId","HasOptedOutOfEmail","IsConverted","ConvertedDate","ConvertedAccountId","ConvertedContactId","ConvertedOpportunityId","IsUnreadByOwner","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","DoNotCall","HasOptedOutOfFax","LastTransferDate","Jigsaw","JigsawContactId","CleanStatus","CompanyDunsNumber","DandbCompanyId","EmailBouncedReason","EmailBouncedDate","SICCode__c","ProductInterest__c","Primary__c","CurrentGenerators__c","NumberofLocations__c"
"00Q24000002aCo2EAE","0","","Ms","Pamela","Owenby","SVP, Technology","Hendrickson Trading","","","PA","","USA","","","","(570) 326-1571","","","pam_owenby@hendricksontrading.com","","","Partner Referral","Closed - Not Converted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","7267","GC5000 series","Yes","John Deere","3.0"
"00Q24000002aCo3EAE","0","","Mr","Norm","May","VP, Facilities","Greenwich Media","","","OH","","USA","","","","(419) 289-3555","","","norm_may@greenwich.net","","","Web","Working - Contacted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","2768","GC5000 series","Yes","All","130.0"
"00Q24000002aCo4EAE","0","","Ms","Pat","Stumuller","SVP, Administration and Finance","Pyramid Construction Inc.","","","","","France","","","","33562156600","","","pat@pyramid.net","","","Phone Inquiry","Closed - Converted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","2768","GC5000 series","Yes","All","130.0"
"00Q24000002aCo5EAE","0","","Mr","Andy","Young","SVP, Operations","Dickenson plc","","","KS","","USA","","","","(620) 241-6200","","","a_young@dickenson.com","","","Purchased List","Closed - Converted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","2768","GC5000 series","Yes","All","130.0"
"00Q24000002aCo6EAE","0","","Ms","Kristen","Akin","Director, Warehouse Mgmt","Aethna Home Products","","","VA","","USA","","","","(434) 369-3100","","","kakin@athenahome.com","","","Partner Referral","Working - Contacted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","2768","GC5000 series","Yes","All","130.0"
"00Q24000002aCo7EAE","0","","Mr","David","Monaco","CFO","Blues Entertainment Corp.","","","","","Japan","","","","(033) 452-1299","","","david@blues.com","","","Purchased List","Working - Contacted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","2768","GC5000 series","Yes","All","130.0"
"00Q24000002aCo8EAE","0","","Ms","Carolyn","Crenshaw","VP, Technology","Ace Iron and Steel Inc.","","","AL","","USA","","","","(251) 679-2200","","","carolync@aceis.com","","","Phone Inquiry","Closed - Not Converted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","2768","GC5000 series","Yes","All","130.0"
"00Q24000002aCo9EAE","0","","Mr.","Jack","Rogers","VP, Facilities","Burlington Textiles Corp of America","525 S. Lexington Ave","Burlington","NC","27215","USA","","","","(336) 222-7000","","(336) 222-8000","jrogers@btca.com","","","Web","Closed - Converted","Apparel","Warm","350000000","9000","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","7267","GC5000 series","Yes","John Deere","3.0"
"00Q24000002aCoAEAU","0","","Mr","Bill","Dadio Jr","CFO","Zenith Industrial Partners","","","OH","","USA","","","","(614) 431-5000","","","bill_dadio@zenith.com","","","Web","Closed - Not Converted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","7267","GC5000 series","Yes","John Deere","3.0"
"00Q24000002aCoBEAU","0","","Ms","Eugena","Luce","CEO","Pacific Retail Group","","","MA","","USA","","","","(781) 270-6500","","","eluce@pacificretail.com","","","Purchased List","Closed - Not Converted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","2768","GC5000 series","Yes","All","130.0"
"00Q24000002aCoCEAU","0","","Ms","Sandra","Eberhard","VP, Production","Highland Manufacturing Ltd.","","","CA","","USA","","","","(626) 440-0700","","","sandra_e@highland.net","","","Purchased List","Working - Contacted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","2768","GC5000 series","Yes","All","130.0"
"00Q24000002aCoDEAU","0","","Ms","Betty","Bair","VP, Administration","American Banking Corp.","","","PA","","USA","","","","(610) 265-9100","","","bblair@abankingco.com","","","Purchased List","Working - Contacted","","","","","00524000000utcoAAA","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","00524000000utcoAAA","2015-06-15 09:09:14","","0","0","2013-03-11 18:59:53","","","Pending","","","","","2768","GC5000 series","Yes","All","130.0"
